Water Source,Region,Percent,Show_Region
"Piped water, public tap or standpipe",Somali,18.4,Other
Piped water kiosk or retailer,Somali,,Other
Tube well or borehole,Somali,7.5,Other
Protected dug well,Somali,4.2,Other
Protected spring,Somali,4.7,Other
Rain water,Somali,,Other
Bottled water,Somali,,Other
Tanker truck or cart with small tank,Somali,2.2,Other
Total improved,Somali,55.4,Other
Unprotected dug well,Somali,13.5,Other
Unprotected spring,Somali,5.4,Other
Surface water,Somali,17,Other
Other,Somali,8.6,Other
Total unimproved,Somali,44.6,Other
Piped water into dwelling,Gambela,,Other
Piped water into yard or plot,Gambela,12.4,Other
"Piped water, public tap or standpipe",Gambela,18.4,Other
Piped water kiosk or retailer,Gambela,,Other
Tube well or borehole,Gambela,7.5,Other
Protected dug well,Gambela,4.2,Other
Protected spring,Gambela,4.7,Other
Rain water,Gambela,,Other
Bottled water,Gambela,,Other
Tanker truck or cart with small tank,Gambela,2.2,Other
Total improved,Gambela,55.4,Other
Unprotected dug well,Gambela,13.5,Other
Unprotected spring,Gambela,5.4,Other
Surface water,Gambela,17,Other
Other,Gambela,8.6,Other
Total unimproved,Gambela,44.6,Other
